1) a * A Matrix
      [,1] [,2] [,3] [,4] [,5] [,6] [,7] [,8] [,9] [,10]
 [33,]  6741  6762  6783  6804  6825  6846  6867  6888  6909  6930
 [34,]  3972  3984  3996  4008  4020  4032  4044  4056  4068  4080
 [35,] 11935 11970 12005 12040 12075 12110 12145 12180 12215 12250
 [36,]  6318  6336  6354  6372  6390  6408  6426  6444  6462  6480
 [37,] 17689 17738 17787 17836 17885 17934 17983 18032 18081 18130
 [38,]  8904  8928  8952  8976  9000  9024  9048  9072  9096  9120
 [39,] 24003 24066 24129 24192 24255 24318 24381 24444 24507 24570
 [40,] 11730 11760 11790 11820 11850 11880 11910 11940 11970 12000
 [41,]  2807  2814  2821  2828  2835  2842  2849  2856  2863  2870
 [42,]  2466  2472  2478  2484  2490  2496  2502  2508  2514  2520
 [43,]  8841  8862  8883  8904  8925  8946  8967  8988  9009  9030
 [44,]  5172  5184  5196  5208  5220  5232  5244  5256  5268  5280
 [45,] 15435 15470 15505 15540 15575 15610 15645 15680 15715 15750
 [46,]  8118  8136  8154  8172  8190  8208  8226  8244  8262  8280
 [47,] 22589 22638 22687 22736 22785 22834 22883 22932 22981 23030
 [48,] 11304 11328 11352 11376 11400 11424 11448 11472 11496 11520
 [49,] 30303 30366 30429 30492 30555 30618 30681 30744 30807 30870
 [50,] 14730 14760 14790 14820 14850 14880 14910 14940 14970 15000
 [51,]  3507  3514  3521  3528  3535  3542  3549  3556  3563  3570
 [52,]  3066  3072  3078  3084  3090  3096  3102  3108  3114  3120
 [53,] 10941 10962 10983 11004 11025 11046 11067 11088 11109 11130
 [54,]  6372  6384  6396  6408  6420  6432  6444  6456  6468  6480
 [55,] 18935 18970 19005 19040 19075 19110 19145 19180 19215 19250
 [56,]  9918  9936  9954  9972  9990 10008 10026 10044 10062 10080
 [57,] 27489 27538 27587 27636 27685 27734 27783 27832 27881 27930
 [58,] 13704 13728 13752 13776 13800 13824 13848 13872 13896 13920
 [59,] 36603 36666 36729 36792 36855 36918 36981 37044 37107 37170
 [60,] 17730 17760 17790 17820 17850 17880 17910 17940 17970 18000
 [61,]  4207  4214  4221  4228  4235  4242  4249  4256  4263  4270
 [62,]  3666  3672  3678  3684  3690  3696  3702  3708  3714  3720
 [63,] 13041 13062 13083 13104 13125 13146 13167 13188 13209 13230
 [64,]  7572  7584  7596  7608  7620  7632  7644  7656  7668  7680
 [65,] 22435 22470 22505 22540 22575 22610 22645 22680 22715 22750
 [66,] 11718 11736 11754 11772 11790 11808 11826 11844 11862 11880
 [67,] 32389 32438 32487 32536 32585 32634 32683 32732 32781 32830
 [68,] 16104 16128 16152 16176 16200 16224 16248 16272 16296 16320
 [69,] 42903 42966 43029 43092 43155 43218 43281 43344 43407 43470
 [70,] 20730 20760 20790 20820 20850 20880 20910 20940 20970 21000
 [71,]  4907  4914  4921  4928  4935  4942  4949  4956  4963  4970
 [72,]  4266  4272  4278  4284  4290  4296  4302  4308  4314  4320
 [73,] 15141 15162 15183 15204 15225 15246 15267 15288 15309 15330
 [74,]  8772  8784  8796  8808  8820  8832  8844  8856  8868  8880
 [75,] 25935 25970 26005 26040 26075 26110 26145 26180 26215 26250
 [76,] 13518 13536 13554 13572 13590 13608 13626 13644 13662 13680
 [77,] 37289 37338 37387 37436 37485 37534 37583 37632 37681 37730
 [78,] 18504 18528 18552 18576 18600 18624 18648 18672 18696 18720
 [79,] 49203 49266 49329 49392 49455 49518 49581 49644 49707 49770
 [80,] 23730 23760 23790 23820 23850 23880 23910 23940 23970 24000
 [81,]  5607  5614  5621  5628  5635  5642  5649  5656  5663  5670
 [82,]  4866  4872  4878  4884  4890  4896  4902  4908  4914  4920
 [83,] 17241 17262 17283 17304 17325 17346 17367 17388 17409 17430
 [84,]  9972  9984  9996 10008 10020 10032 10044 10056 10068 10080
 [85,] 29435 29470 29505 29540 29575 29610 29645 29680 29715 29750
 [86,] 15318 15336 15354 15372 15390 15408 15426 15444 15462 15480
 [87,] 42189 42238 42287 42336 42385 42434 42483 42532 42581 42630
 [88,] 20904 20928 20952 20976 21000 21024 21048 21072 21096 21120
 [89,] 55503 55566 55629 55692 55755 55818 55881 55944 56007 56070
 [90,] 26730 26760 26790 26820 26850 26880 26910 26940 26970 27000
 [91,]  6307  6314  6321  6328  6335  6342  6349  6356  6363  6370
 [92,]  5466  5472  5478  5484  5490  5496  5502  5508  5514  5520
 [93,] 19341 19362 19383 19404 19425 19446 19467 19488 19509 19530
 [94,] 11172 11184 11196 11208 11220 11232 11244 11256 11268 11280
 [95,] 32935 32970 33005 33040 33075 33110 33145 33180 33215 33250
 [96,] 17118 17136 17154 17172 17190 17208 17226 17244 17262 17280
 [97,] 47089 47138 47187 47236 47285 47334 47383 47432 47481 47530
 [98,] 23304 23328 23352 23376 23400 23424 23448 23472 23496 23520
 [99,] 61803 61866 61929 61992 62055 62118 62181 62244 62307 62370
[100,] 29730 29760 29790 29820 29850 29880 29910 29940 29970 30000

Re-assigning vectors
a = 1, 10, 3, 20, 5, 30, 7, 40, 9, 50
b = 7, 6, 21, 12,35,18,49,24,63,30
Using Solve() we get an error saying:
Error in solve.default(A) : 
  system is computationally singular: reciprocal condition number = 2.46047e-19
Upon further research the determinate found by using function det() it does not equal zero therefore you can’t find an inverse of the matrix. 
